1.0386 -3.59 -3.26 -4.40 -11.87 -0.77 -12.23
1.0466 -3.95 -3.28 -4.42 -12.55 -0.78 -12.24
1.0547 -3.39 -3.31 -4.42 -12.61 -0.78 -12.25
1.0627 -3.46 -3.33 -4.43 -12.59 -0.79 -12.26
1.0707 -3.65 -3.36 -4.43 -12.58 -0.80 -12.28
1.0788 -3.44 -3.38 -4.44 -12.73 -0.81 -12.29
1.0868 -3.33 -3.40 -4.44 -12.56 -0.81 -12.30
1.0948 -3.36 -3.43 -4.44 -12.77 -0.82 -12.32
1.1028 -3.59 -3.45 -4.45 -12.38 -0.82 -12.33
1.1109 -3.53 -3.47 -4.45 -12.77 -0.83 -12.34
1.1189 -3.48 -3.49 -4.45 -12.82 -0.84 -12.36
1.1269 -3.57 -3.52 -4.46 -12.85 -0.85 -12.38
1.1349 -3.42 -3.54 -4.46 -12.65 -0.85 -12.39
1.1430 -3.40 -3.57 -4.46 -12.35 -0.86 -12.40
1.1510 -3.60 -3.59 -4.47 -12.68 -0.87 -12.41
1.1590 -3.65 -3.61 -4.48 -12.83 -0.88 -12.42
1.1671 -3.57 -3.64 -4.48 -12.54 -0.88 -12.43
1.1751 -3.83 -3.66 -4.49 -12.82 -0.89 -12.45
1.1831 -3.49 -3.68 -4.49 -12.88 -0.90 -12.46
1.1911 -0.11 -3.71 -4.43 -17.53 -0.89 -12.56
1.1992 2.00 -3.62 -4.21 -33.33 -0.89 -12.98
1.2072 5.40 -3.46 -3.86 -30.65 -0.94 -13.37
1.2152 3.37 -3.25 -3.51 -26.79 -0.93 -13.63
1.2232 3.06 -2.95 -3.09 -23.74 -1.11 -14.01
1.2313 -22.46 -2.63 -3.16 3.32 -1.26 -13.82
1.2393 -14.31 -2.37 -3.14 -5.70 -1.31 -13.70
1.2474 8.09 -2.21 -2.75 -9.27 -1.29 -13.59
1.2554 -1.73 -1.95 -2.47 -18.02 -1.46 -13.85
1.2635 -5.02 -1.76 -2.34 -8.66 -1.53 -13.81
1.2715 -4.65 -1.57 -2.20 -4.86 -1.56 -13.67
1.2795 -5.29 -1.37 -2.07 -7.40 -1.63 -13.61
1.2875 -6.15 -1.20 -1.99 3.84 -1.72 -13.35
1.2956 1.66 -1.04 -1.75 -26.08 -1.72 -13.60
1.3036 -1.15 -0.96 -1.66 -12.17 -1.91 -13.76
1.3116 -10.82 -0.92 -1.80 4.48 -1.96 -13.44
1.3196 -6.56 -0.91 -1.89 -3.78 -1.94 -13.23
1.3277 -1.64 -0.94 -1.92 -6.00 -1.93 -13.07
1.3357 -2.17 -1.01 -1.99 -13.18 -1.95 -13.09
1.3437 -3.18 -1.09 -2.09 -11.74 -1.95 -13.07
1.3517 1.00 -1.16 -2.10 -10.35 -1.94 -13.00
1.3598 -4.43 -1.26 -2.24 -7.84 -1.94 -12.90
1.3678 -6.08 -1.37 -2.43 -6.75 -1.94 -12.78
1.3758 -0.91 -1.54 -2.56 -4.93 -1.90 -12.58
1.3840 2.63 -1.74 -2.65 -2.04 -1.84 -12.31
1.3920 -7.30 -1.92 -2.92 -9.22 -1.82 -12.24
1.4000 -14.60 -2.08 -3.32 -11.54 -1.86 -12.26
1.4081 -6.18 -2.25 -3.54 -0.50 -1.79 -11.96
1.4161 3.01 -2.50 -3.65 -21.28 -1.70 -12.05
1.4241 -1.86 -2.72 -3.84 -16.17 -1.72 -12.15
1.4322 -9.49 -2.91 -4.13 -7.96 -1.70 -12.05
1.4402 -7.64 -3.09 -4.38 -11.88 -1.65 -12.00
1.4482 -1.08 -3.24 -4.45 -22.19 -1.59 -12.14
1.4563 2.57 -3.33 -4.41 -30.60 -1.60 -12.53
